Cidade;% Defasagem Idade-Série Fundamental;RA (numérica)
Brasília;12.94;1
Gama;18.54;2
Taguatinga;15.69;3
Brazlândia;20.37;4
Sobradinho;17.61;5
Planaltina;22.21;6
Paranoá;24.77;7
Núcleo Bandeirante;15.44;8
Ceilândia;17.92;9
Guará;21.30;10
Cruzeiro;16.93;11
Samambaia;16.57;12
Santa Maria;15.44;13
São Sebastião;20.88;14
Recanto das Emas;20.38;15
Lago Sul;11.23;16
Riacho Fundo;13.01;17
Lago Norte;26.71;18
Candangolândia;17.25;19
Águas Claras;17.55;20
Riacho Fundo II;14.18;21
Sudoeste Octogonal;6.69;22
Varjão;12.97;23
Park Way;14.21;24
SCIA;23.72;25
Sobradinho II;24.93;26